Issue Date;Invoice;Boarding Location;Seller;PO;Operation;Customer;CNPJ/CPF;Product;Code;Qty;Tax (IPI);Net Unit Value.;Gross Unit Value.;Total without tax;Total with tax;Freight;Discount Amount;Status;Delivery Date;Notes;Cliente;Contrato
15/01/2026;848;CURITIBA;Mateus Armando;LIVDMIN1301037;RESALE;L E F COMERCIO  PROJETOS E CONSULTORIA LTDA;11.945.569/0001-46;MODULO WLAN - WIFI + BLUETOOTH, 2.4 GHZ 802.11B/G/N. TENSAO DE FUNCIONMENTO 5V - (PSD200-F1);PSD200R21001;5;15,00%;139,13;159,9995;695,65;799,9975;;;Current;29/01/2026;;;
15/01/2026;849;CURITIBA;Anna Julia;LIVMZUU1612305;RESALE;ZUUZ - MOBILIDADE ELETRICA LTDA;44.040.465/0001-41;CARREGADOR (CA) INTELIGENTE PARA VEICULOS ELETRICOS, TIPO 1 E TIPO 2, 7.300W,230VAC, 50/60HZ, IP54;A0070230E11R11302;7;9,75%;1731,21;1900,002975;12118,47;13300,02083;;;Current;23/01/2026;;;
15/01/2026;849;CURITIBA;Anna Julia;LIVMZUU1612305;RESALE;ZUUZ - MOBILIDADE ELETRICA LTDA;44.040.465/0001-41;CARREGADOR DE ACUMULADOR (CA) INTEL IGENTE PARA VEICULOS ELETRICOS, TIPO 2,POTENCIA, 22.000W;A0220400E11R11004;3;9,75%;2733,49;3000,005275;8200,47;9000,015825;;;Current;23/01/2026;;;
16/01/2026;851;CURITIBA;Anna Julia;LIVMENE1501105;RESALE;ENERGIA ATUAL LTDA;46.859.676/0001-36;CARREGADOR DE ACUMULADOR (CA) INTEL IGENTE PARA VEICULOS ELETRICOS, TIPO 2,POTENCIA, 22.000W;A0220400E11R11004;1;9,75%;2824,6;3099,9985;2824,6;3099,9985;;;Current;16/01/2026;;;
16/01/2026;852;CURITIBA;Anna Julia;LIVMGRU0912216;RESALE;VALEC COMERCIO DE VEICULOS S.A.;62.892.132/0002-03; CARREGADOR (CA) INTELIGENTE PARA VE ICULOS ELETRICOS, TIPO 1 E TIPO 2, 7.300W,230VAC, 50/60HZ, IP54;A0070230E11R11302;2;9,75%;2277,905;2500,000738;4555,81;5000,001475;;;Rebilling;16/01/2026;Rebilling Invoice 789;RENAULT;41
16/01/2026;852;CURITIBA;Anna Julia;LIVMGRU0912216;RESALE;VALEC COMERCIO DE VEICULOS S.A.;62.892.132/0002-03;D0301000E21 - CARREGADOR VEICULAR CC, POTENCIA NOMINAL DE 30KW, DIMENSOES 450 * 145 * 680 MM;D0300380E1EYW11001;2;9,75%;29157,175;31999,99956;58314,35;63999,99913;;;Rebilling;16/01/2026;Rebilling Invoice 789;;
16/01/2026;852;CURITIBA;Anna Julia;LIVMGRU0912216;RESALE;VALEC COMERCIO DE VEICULOS S.A.;62.892.132/0002-03;"PEDESTAL PARA ESTACAO DE RECARGA DC30KW; 200X80MM; ACO CARBONO 1020; COM FURACOES; PINTURA ELETROSTATICA; E PARABOLTS";9192220364;2;5,00%;2095,24;2200,002;4190,48;4400,004;;;Rebilling;16/01/2026;Rebilling Invoice 789;;
16/01/2026;852;CURITIBA;Anna Julia;LIVMGRU0912216;RESALE;VALEC COMERCIO DE VEICULOS S.A.;62.892.132/0002-03;CARREGADOR DE ACUMULADOR (CA) INTEL IGENTE PARA VEICULOS ELETRICOS, TIPO 2,POTENCIA, 22.000W;A0220400E11R11004;1;9,75%;3735,76;4099,9966;3735,76;4099,9966;;;Rebilling;16/01/2026;Rebilling Invoice 789;;
16/01/2026;853;CURITIBA;Anna Julia;LIVMJOR1501391;RESALE;GEE MOTORS LTDA;60.345.363/0002-71; CARREGADOR (CA) INTELIGENTE PARA VE ICULOS ELETRICOS, TIPO 1 E TIPO 2, 7.300W,230VAC, 50/60HZ, IP54;A0070230E11R11302;3;9,75%;2277,9;2499,99525;6833,7;7499,98575;;;Current;26/01/2026;;RENAULT;41
16/01/2026;7733;FORTALEZA;Pedro Aguiar;LIVMSPT1301577;RESALE;SAO PAULO TRANSPORTE S.A;60.498.417/0001-58;CARREGADOR VEICULAR CC 60KW M0601000E2EY CCS2+CCS2 RFID-ETHERNET-4G;M0601000E2EYR11001;1;5,00%;45015,88;47266,674;45015,88;47266,674;;;Current;21/01/2026;;;
16/01/2026;7734;FORTALEZA;Pedro Aguiar;LIVMSPT1301926;RESALE;SAO PAULO TRANSPORTE S.A;60.498.417/0001-58;CARREGADOR VEICULAR CC 60KW M0601000E2EY CCS2+CCS2 RFID-ETHERNET-4G;M0601000E2EYR11001;3;5,00%;45015,88;47266,674;135047,64;141800,022;;;Current;21/01/2026;;;
16/01/2026;7735;FORTALEZA;Pedro Aguiar;LIVMSPT1301832;RESALE;SAO PAULO TRANSPORTE S.A;60.498.417/0001-58;CARREGADOR VEICULAR CC 60KW M0601000E2EY CCS2+CCS2 RFID-ETHERNET-4G;M0601000E2EYR11001;1;5,00%;45015,88;47266,674;45015,88;47266,674;;;Current;21/01/2026;;;
16/01/2026;7736;FORTALEZA;Pedro Aguiar;LIVMSPT1301499;RESALE;SAO PAULO TRANSPORTE S.A;60.498.417/0001-58;CARREGADOR VEICULAR CC 60KW M0601000E2EY CCS2+CCS2 RFID-ETHERNET-4G;M0601000E2EYR11001;1;5,00%;45015,88;47266,674;45015,88;47266,674;;;Current;21/01/2026;;;
23/01/2026;902;CURITIBA;Anna Julia;LIVMGRE1301440;RESALE;GREENV MOBILIDADE ELETRICA BRASIL S.A;13.252.686/0001-50;CARREGADOR DE ACUMULADOR (CA) INTEL IGENTE PARA VEICULOS ELETRICOS, TIPO 2,POTENCIA, 22.000W;A0220400E11R11004;56;9,75%;2004,56;2200,0046;112255,36;123200,2576;;;Current;27/01/2026;;;
23/01/2026;903;CURITIBA;Anna Julia;LIVMGRE1301522;RESALE;GREENV MOBILIDADE ELETRICA BRASIL S.A;13.252.686/0001-50; CARREGADOR (CA) INTELIGENTE PARA VE ICULOS ELETRICOS, TIPO 1 E TIPO 2, 7.300W,230VAC, 50/60HZ, IP54;A0070230E11R11302;112;9,75%;1321,18;1449,99505;147972,16;162399,4456;;;Current;27/01/2026;;;
26/01/2026;904;CURITIBA;Anna Julia;LIVMINF2201172;RESALE;INFINITY VEICULOS, PECAS E SERVICOS LTDA;61.124.060/0001-00;"CARREGADOR VE LIVOLTEK CC MOTION CO MPACT 60 KW; 400VAC;CABO 5M; 200 A;RFID; ETHERNET; 4G; CABO 2XCCS2";C06010E2EAFGR11003;1;9,75%;46041,91;50530,99623;46041,91;50530,99623;;;Current;Waiting Payment;;;
26/01/2026;905;CURITIBA;Marcelo Leite;LIVPOIW2201852;RESALE;OIW INDUSTRIA ELETRONICA S.A;07.212.549/0001-99;INVERSOR ON-GRID MONOFASICO GT1-5KD 2 220V AFCI;GT1-5KD2R11008;22;9,75%;1321,18;1449,99505;29065,96;31899,8911;;;Current;26/01/2026;;;
26/01/2026;906;CURITIBA;Mateus Armando;1914;SALE ON CONSIGNMENT;A DIAS SOLAR DIST  MERCANTIL LTDA;05.951.301/0001-14; INVERSOR TRIFASICO 220V ON-GRID GT-20KTL1 AFCI;GT3-20KTL1R11002;1;0,00%;6800;6800;6800;6800;;;Current;26/01/2026;;;
26/01/2026;907;CURITIBA;Mateus Armando;1914;SALE ON CONSIGNMENT;A DIAS SOLAR DIST  MERCANTIL LTDA;05.951.301/0001-14; INVERSOR TRIFASICO 220V ON-GRID GT3-30KQL1 AFCI;GT3-30KQL1R11002;2;0,00%;8499,99;8499,99;16999,98;16999,98;;;Current;26/01/2026;;;
27/01/2026;908;CURITIBA;Anna Julia;LIVMENE2201840;RESALE;ENERGIA ATUAL LTDA;46.859.676/0001-36;CARREGADOR (CA) INTELIGENTE PARA VEICULOS ELETRICOS, TIPO 1 E TIPO 2,7.300W,230VAC, 50/60HZ, IP54;A0070230E11R11302;1;9,75%;1913,44;2100,0004;1913,44;2100,0004;;;Current;27/01/2026;;;
27/01/2026;909;CURITIBA;Kelly Li; LIVPP.O2201156;RESALE;P. O SOLAR ENERGY LTDA;19.407.221/0001-07;D0301000E21 - CARREGADOR VEICULAR CC, POTENCIA NOMINAL DE 30KW, DIMENSOES 450 * 145 * 680 MM;D0300380E1EYW11001;1;9,75%;31252,85;34300,00288;31252,85;34300,00288;;;Current;In Transit;;;
27/01/2026;909;CURITIBA;Kelly Li; LIVPP.O2201156;RESALE;P. O SOLAR ENERGY LTDA;19.407.221/0001-07;CARREGADOR (CA) INTELIGENTE PARA VEICULOS ELETRICOS, TIPO 1 E TIPO 2,7.300W,230VAC, 50/60HZ, IP54;A0070230E11R11302;20;9,75%;1964,46;2155,99485;39289,2;43119,897;;;Current;In Transit;;;
29/01/2026;912;CURITIBA;Mateus Armando;LIVDDRY2511267;RESALE;ACARTOCENTER CONSTRUCAO A SECO LTDA;05.383.915/0001-4; INVERSOR ON-GRID TRIFASICO 75KW 380V 6 MPPT AFCI - GT3-75K-11-2;GT3-75K-11R11002;1;9,75%;11696,14;12836,51365;11696,14;12836,51365;;;Rebilling;29/01/2026;Rebilling Invoice 736;;
29/01/2026;913;CURITIBA;Anna Julia;LIVMTRO2701452;RESALE;TROOVE COMERCIO E SERVICOS LTDA;58.309.783/0001-70;CARREGADOR VEICULAR CC 60KW M0601000E2EY CCS2+CCS2 RFID-ETHERNET-4G;M0601000E2EYR11001;1;5,00%;61904,76;64999,998;61904,76;64999,998;;;Current;In Transit;;;
29/01/2026;914;CURITIBA;Anna Julia;LIVPBRA2601633;RESALE;DIMAS GWM COMERCIO DE AUTOMOVEIS IMPORTADOS LTDA;48.785.806/0001-69;CARREGADOR VEICULAR CC 60KW M0601000E2EY CCS2+CCS2 RFID-ETHERNET-4G;M0601000E2EYR11001;1;5,00%;48124,76;50530,998;48124,76;54530,998;4000;;Current;Waiting Payment;;GWN;1345715387
08/01/2026;7576;FORTALEZA;Anna Julia;LIVMMUN1612133;RESALE;MUNICIPIO DE RODEIO;83.102.814/0001-64;CARREGADOR DE ACUMULADOR (CA) INTEL IGENTE PARA VEICULOS ELETRICOS, TIPO 2,POTENCIA, 22.000W;A0220400E11R11004;1;9,75%;4464,69;4899,997275;4464,69;4899,997275;;;Current;In Transit;;CINCATARINA;1341791396
21/01/2026;2803;FORTALEZA;Marcelo Leite;LIVDROT1301170;RESALE;ROTEX CONSTRUCOES E SERVICOS LTDA;31.276.477/0001-28;INVERSOR ON-GRID MONOFASICO GT1-5KD2 220V AFCI;GT1-5KD2R11008;5;0,00%;1600;1600;8000;8000;;;Current;21/01/2026;;;
21/01/2026;2803;FORTALEZA;Marcelo Leite;LIVDROT1301170;RESALE;ROTEX CONSTRUCOES E SERVICOS LTDA;31.276.477/0001-28;INVERSORES PARA SISTEMAS FOTOVOLTAICOS GT3-15KD1R11008;GT3-15KD1R11008;8;9,75%;2801,82;3074,99745;22414,56;24599,9796;;;Current;21/01/2026;;;
21/01/2026;2803;FORTALEZA;Marcelo Leite;LIVDROT1301170;RESALE;ROTEX CONSTRUCOES E SERVICOS LTDA;31.276.477/0001-28;INVERSOR TRIFASICO 380V ON-GRID GT-30KT1 AFCI.;GT3-30KT1R11002;10;9,75%;4920,27;5399,996325;49202,7;53999,96325;;;Current;21/01/2026;;;
21/01/2026;2803;FORTALEZA;Marcelo Leite;LIVDROT1301170;RESALE;ROTEX CONSTRUCOES E SERVICOS LTDA;31.276.477/0001-28; INVERSOR ON-GRID TRIFASICO 37,5KW 380V 3 MPPT AFCI - GT3-37K5T1;GT3-37K5T1R11002;5;9,75%;5649,2;6199,997;28246;30999,985;;;Current;21/01/2026;;;
20/01/2026;160;MANAUS;Wilton moura;LIVPBRA1901181;SALE;BRASCOM LTDA;24.311.178/0001-11;KIT FOTOVOLTAICO 70,7KWP;9140274573;1;0,00%;69316,8;69316,8;69316,8;69316,8;;;Current;20/01/2026;;;
22/01/2026;161;MANAUS;Wilton moura;LIVPPAL2101479;SALE;PALHETA ENGENHARIA LTDA;59.457.287/0001-26;KIT FOTOVOLTAICO 58,8KWP;9140274574;1;0,00%;65896,8;65896,8;65896,8;65896,8;;;Current;22/01/2026;;;
28/01/2026;163;MANAUS;Wilton moura;LIVPBRA2301403;SALE;BRASCOM LTDA;24.311.178/0001-1;KIT FOTOVOLTAICO 49KWP;9140274575;1;0,00%;45830,4;45830,4;45830,4;45830,4;;;Current;28/01/2026;;;
28/01/2026;164;MANAUS;Wilton moura;LIVPTEI2801564;RESALE;TEIXEIRA COMERCIO DE EQUIPAMENTOS ELETRONICOS LTDA;39.492.416/0001-00;KIT MINI TRILHO BAIXO P-1 PARA 4 MODULOS 300 MM;9191271063;20;0,00%;2240;2240;2240;2240;;;Current;28/01/2026;;;
28/01/2026;165;MANAUS;Wilton moura;LIVPTEI2801843;SALE;TEIXEIRA COMERCIO DE EQUIPAMENTOS ELETRONICOS LTDA;39.492.416/0001-00;KIT FOTOVOLTAICO 92,4KWP;9140274576;1;0,00%;99873,6;99873,6;99873,6;99873,6;;;Current;28/01/2026;;;
30/01/2026;166;MANAUS;Wilton moura;LIVPPAL2801686;SALE;PALHETA ENGENHARIA LTDA;59.457.287/0001-26;KIT FOTOVOLTAICO 9,8KWP-2;9140274577;1;0,00%;11587,2;11587,2;11587,2;11587,2;;;Current;30/01/2026;;;
22/01/2026;240;MANAUS;Marcelo Leite;LIVDM.L1401582;SALE;M.L.BEDIN & CIA LTDA;82.489.709/0001-67;INVERSOR ON-GRID TRIFASICO 25kW 380V 2MPPT GT3-25KD1R11008;105652;20;0,00%;3493;3493;69860;69860;;;Current;22/01/2026;;;
28/01/2026;243;MANAUS;Leonardo Dib;LIVDFOR616576;SALE;FORTLEV ENERGIA SOLAR LTDA;32.270.838/0002-72; INVERSOR ON-GRID MONOFASICO 6kW 220V 2 MPPT GT1-6KD2R11008;104938;80;0,00%;1512;1512;120960;120960;;;Current;In Transit;;;
28/01/2026;243;MANAUS;Leonardo Dib;LIVDFOR616576;SALE;FORTLEV ENERGIA SOLAR LTDA;32.270.838/0002-72;INVERSOR ON-GRID MONOFASICO 7,5KW 220V 3MPPT GT1-7K5T2R11002;105420;50;0,00%;1627;1627;81350;81350;;;Current;In Transit;;;
28/01/2026;243;MANAUS;Leonardo Dib;LIVDFOR616576;SALE;FORTLEV ENERGIA SOLAR LTDA;32.270.838/0002-72; INVERSOR ON-GRID MONOFASICO 10KW 220V 3MPPT GT1-10KT2R11004;105396;80;0,00%;2341;2341;187280;187280;;;Current;In Transit;;;
28/01/2026;243;MANAUS;Leonardo Dib;LIVDFOR616576;SALE;FORTLEV ENERGIA SOLAR LTDA;32.270.838/0002-72; INVERSOR ON-GRID TRIFASICO 15kW 380V 2 MPPT GT3-15KD1R11008;105649;40;0,00%;2541;2541;101640;101640;;;Current;In Transit;;;
28/01/2026;243;MANAUS;Leonardo Dib;LIVDFOR616576;SALE;FORTLEV ENERGIA SOLAR LTDA;32.270.838/0002-72; INVERSOR ON-GRID TRIFASICO 25kW 380V 2 MPPT GT3-25KD1R11008;105652;70;0,00%;2780;2780;194600;194600;;;Current;In Transit;;;
22/01/2026;861;CURITIBA;Fabian;4504307942;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;862;CURITIBA;Fabian;4504307930;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;863;CURITIBA;Fabian;4504307925;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;864;CURITIBA;Fabian;4504307922;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;865;CURITIBA;Fabian;4504307919;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;866;CURITIBA;Fabian;4504307914;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;867;CURITIBA;Fabian;4504307902;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;868;CURITIBA;Fabian;4504307890;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;869;CURITIBA;Fabian;4504307884;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;870;CURITIBA;Fabian;4504307880;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;871;CURITIBA;Fabian;4504308035;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;872;CURITIBA;Fabian;4504308017;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;873;CURITIBA;Fabian;4504308011;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;874;CURITIBA;Fabian;4504307995;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;875;CURITIBA;Fabian;4504307991;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;876;CURITIBA;Fabian;4504307985;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;877;CURITIBA;Fabian;4504307974;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;878;CURITIBA;Fabian;4504307965;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;879;CURITIBA;Fabian;4504307952;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;880;CURITIBA;Fabian;4504307945;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;881;CURITIBA;Fabian;4504308178;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;882;CURITIBA;Fabian;4504308166;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;883;CURITIBA;Fabian;4504308140;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;884;CURITIBA;Fabian;4504308232;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;885;CURITIBA;Fabian;4504308227;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;886;CURITIBA;Fabian;4504308113;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;887;CURITIBA;Fabian;4504308105;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
22/01/2026;888;CURITIBA;Fabian;4504308092;SALE;COPEL DISTRIBUICAO SA;04.368.898/0001-06;SIGFI 80 - SISTEMA DE GERACAO COM FONTES INTERMITENTES 80KWH/MES 127V;9159610000;1;0,00%;32034,78;32034,78;32034,78;32034,78;;;Current;22/01/2026;;;
